record_id,object_type,property,old_value,new_value,derived_from,status
52295708192,meeting,meeting_source,,Direct Traffic,contact:17649358342:stat_latest_source,dry-run
52788780290,meeting,meeting_source,,Email Campaign,company:50796010413:stat_latest_source,dry-run
73817499301,meeting,meeting_source,,Customer Import,company:1087994034:stat_latest_source,dry-run
74147950179,meeting,meeting_source,,Conference,company:30645171873:stat_latest_source,dry-run
76902470923,meeting,meeting_source,,Digital Marketing,company:18004800939:stat_latest_source,dry-run
77275660571,meeting,meeting_source,,Cold Call,company:18004430376:stat_latest_source,dry-run
78281572637,meeting,meeting_source,,Other,company:32107943352:stat_latest_source,dry-run
87853377596,meeting,hs_meeting_outcome,,COMPLETED,has meeting notes; deal:43289469864 in active stage; post-meeting contact activity,dry-run
87901273774,meeting,hs_meeting_outcome,,COMPLETED,has meeting notes; deal:43319417745 in active stage; post-meeting contact activity,dry-run
87974044311,meeting,hs_meeting_outcome,,COMPLETED,has meeting notes; post-meeting contact activity,dry-run
88062028813,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:40614622023:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
88072413614,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:42712950671:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
90924918075,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:45176098650:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
88854347553,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:43347317370:stage=937266523 (deal lost/nurture),dry-run
88871337568,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:44074523947:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
89712990218,meeting,hs_meeting_outcome,,COMPLETED,post-meeting contact activity,dry-run
90331012019,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:45002329381:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
90767605411,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:45002390918:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
90393687906,meeting,hs_meeting_outcome,,COMPLETED - STALLED,deal:45002268248:stage=6f75eed0-c3f8-49f9-a9af-84791515bb90 (deal lost/nurture),dry-run
