record_id,object_type,company_id,property,old_value,new_value,derived_from,status
52295708192,meeting,,meeting_source,,Direct Traffic,contact:17649358342:stat_latest_source,dry-run
52788780290,meeting,50796010413,meeting_source,,Email Campaign,company:50796010413:stat_latest_source,dry-run
73817499301,meeting,1087994034,meeting_source,,Customer Import,company:1087994034:stat_latest_source,dry-run
74147950179,meeting,30645171873,meeting_source,,Conference,company:30645171873:stat_latest_source,dry-run
76902470923,meeting,18004800939,meeting_source,,Digital Marketing,company:18004800939:stat_latest_source,dry-run
77275660571,meeting,18004430376,meeting_source,,Cold Call,company:18004430376:stat_latest_source,dry-run
78281572637,meeting,32107943352,meeting_source,,Other,company:32107943352:stat_latest_source,dry-run
104111960421,meeting,,meeting_source,,Webinar,contact:175755066808:stat_latest_source,dry-run
385789309,deal,,lead_source,,,no source found,skipped
385789392,deal,,lead_source,,,no source found,skipped
385875472,deal,1003419250,lead_source,,,no source found,skipped
385875532,deal,41225427332,lead_source,,,no source found,skipped
385875561,deal,41188263049,lead_source,,,no source found,skipped
385876360,deal,40105555789,lead_source,,Prospecting,company:40105555789:stat_latest_source,dry-run
385876407,deal,36445265592,lead_source,,Sponsored Event,deal:385876407:oc_source,dry-run
426375987,deal,41186705274,lead_source,,,no source found,skipped
454895101,deal,1002221875,lead_source,,Sponsored Event,deal:454895101:source_history,dry-run
455795523,deal,40105555789,lead_source,,Prospecting,company:40105555789:stat_latest_source,dry-run
455823176,deal,,lead_source,,,no source found,skipped
455868447,deal,41225427332,lead_source,,,no source found,skipped
459503946,deal,41705935134,lead_source,,,no source found,skipped
459504298,deal,,lead_source,,,no source found,skipped
460569445,deal,41189027476,lead_source,,,no source found,skipped
463893437,deal,46717827362,lead_source,,,no source found,skipped
472816611,deal,38739940764,lead_source,,Sponsored Event,deal:472816611:oc_source,dry-run
493823643,deal,41202036564,lead_source,,,no source found,skipped
498810301,deal,31929909329,lead_source,,Prospecting,deal:498810301:oc_source,dry-run
533747187,deal,1099020672,lead_source,,,no source found,skipped
533748344,deal,41226676587,lead_source,,,no source found,skipped
533749695,deal,41187638128,lead_source,,,no source found,skipped
533749734,deal,41182528903,lead_source,,,no source found,skipped
577464102,deal,41221722950,lead_source,,Prospecting,company:41221722950:stat_latest_source,dry-run
577527646,deal,41190126949,lead_source,,,no source found,skipped
588852606,deal,1003419180,lead_source,,,no source found,skipped
599959366,deal,,lead_source,,,no source found,skipped
599995790,deal,1701458249,lead_source,,,no source found,skipped
611991140,deal,41224032554,lead_source,,,no source found,skipped
627871799,deal,1450517149,lead_source,,,no source found,skipped
627879768,deal,1751605176,lead_source,,,no source found,skipped
627887657,deal,41219073864,lead_source,,Direct,deal:627887657:source_history,dry-run
627888740,deal,1751605167,lead_source,,,no source found,skipped
627889136,deal,41275061662,lead_source,,,no source found,skipped
627889507,deal,1455922649,lead_source,,,no source found,skipped
627929081,deal,41218470180,lead_source,,,no source found,skipped
627929912,deal,1088110056,lead_source,,,no source found,skipped
627930960,deal,41200486677,lead_source,,,no source found,skipped
627944498,deal,1761481209,lead_source,,,no source found,skipped
627961086,deal,1455890292,lead_source,,,no source found,skipped
627961137,deal,1450517174,lead_source,,,no source found,skipped
627978455,deal,1164531170,lead_source,,,no source found,skipped
627992258,deal,1455903706,lead_source,,,no source found,skipped
628530583,deal,42274120470,lead_source,,Prospecting,deal:628530583:oc_source,dry-run
634605543,deal,41198784530,lead_source,,,no source found,skipped
657428724,deal,41194137381,lead_source,,Sponsored Event,"contact:52351218348:leadsource=""Conference"" → ""Sponsored Event""",dry-run
658171470,deal,,lead_source,,,no source found,skipped
658186558,deal,1757803554,lead_source,,,no source found,skipped
669277607,deal,42338992460,lead_source,,Prospecting,company:42338992460:stat_latest_source,dry-run
677996800,deal,1164531210,lead_source,,,no source found,skipped
695529372,deal,41189819693,lead_source,,,no source found,skipped
715855353,deal,41215683343,lead_source,,Prospecting,"contact:358701:leadsource=""Cold Call"" → ""Prospecting""",dry-run
715856230,deal,1455915335,lead_source,,,no source found,skipped
733039290,deal,1873885124,lead_source,,,no source found,skipped
742905200,deal,,lead_source,,,no source found,skipped
758643576,deal,41200647946,lead_source,,Organic Search,deal:758643576:oc_source,dry-run
779377330,deal,41216298335,lead_source,,,no source found,skipped
779837311,deal,18327162883,lead_source,,Sponsored Event,"contact:541351:leadsource=""Conference"" → ""Sponsored Event""",dry-run
787209226,deal,41227140410,lead_source,,,no source found,skipped
787301023,deal,41194296716,lead_source,,,no source found,skipped
817622611,deal,41195081076,lead_source,,Sponsored Event,"contact:259301:leadsource=""Conference"" → ""Sponsored Event""",dry-run
828403713,deal,41187959602,lead_source,,,no source found,skipped
832902733,deal,1751620201,lead_source,,,no source found,skipped
19041505072,deal,2089055200,lead_source,,,no source found,skipped
843786227,deal,41227744938,lead_source,,,no source found,skipped
843989141,deal,1164531156,lead_source,,,no source found,skipped
844392406,deal,1087982376,lead_source,,,no source found,skipped
847643321,deal,1100072138,lead_source,,,no source found,skipped
853563716,deal,41185792033,lead_source,,,no source found,skipped
856323398,deal,32107939902,lead_source,,Prospecting,company:32107939902:stat_latest_source,dry-run
858685209,deal,2089101321,lead_source,,,no source found,skipped
869005992,deal,32107938961,lead_source,,,no source found,skipped
892451166,deal,1134462920,lead_source,,Prospecting,deal:892451166:oc_source,dry-run
912625113,deal,2150827327,lead_source,,,no source found,skipped
912756200,deal,41187637869,lead_source,,Prospecting,company:41187637869:stat_latest_source,dry-run
913002056,deal,1164539804,lead_source,,,no source found,skipped
925660042,deal,16961603223,lead_source,,,no source found,skipped
933883382,deal,1808730225,lead_source,,Direct,deal:933883382:oc_source,dry-run
959598810,deal,41228379479,lead_source,,,no source found,skipped
1045627870,deal,,lead_source,,,no source found,skipped
4029147836,deal,3522595195,lead_source,,,no source found,skipped
16375602765,deal,50923715927,lead_source,,,no source found,skipped
16373969175,deal,41200647946,lead_source,,Organic Search,deal:16373969175:oc_source,dry-run
16375292684,deal,1164531185,lead_source,,,no source found,skipped
16375339880,deal,28918133688,lead_source,,Sponsored Event,"contact:1819101:leadsource=""Conference"" → ""Sponsored Event""",dry-run
16375399856,deal,41224510331,lead_source,,,no source found,skipped
